"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C5,C6,C21,C22,C11,C12";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";8;"10uF";;;
2;"C3,C4,C7,C8,C23,C24,C13,C14";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";8;"0.1uF";;;
3;"C9,C10,C15,C16";"C_0201_0603Metric_Pad0.64x0.40mm_HandSolder";4;"1nF";;;
4;"J1";"PinSocket_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
5;"J3";"BarrelJack_Horizontal";1;"Jack-DC";;;
6;"J4,J5";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
7;"R1,R2,R3,R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"10k";;;
8;"U1,U2";"SOP65P490X110-8N";2;"DAC8811IBDGKR";;;
9;"U3,U4,U5";"SOIC127P599X175-8N";3;"OPA2277UA_2K5";;;
10;"J2";"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal";1;"Screw_Terminal_01x03";;;
11;"H1";"MountingHole_2.5mm_Pad";1;"MountingHole_Pad";;;
